E (keV)	chYiel
0.000000	-nan
0.250000	67.280640
0.500000	55.954390
0.750000	49.292040
1.000000	45.972401
1.250000	44.214941
1.500000	43.068961
1.750000	42.152729
2.000000	41.332893
2.250000	40.567900
2.500000	39.846801
2.750000	39.167517
3.000000	38.529698
3.250000	37.932695
3.500000	37.375201
3.750000	36.855379
4.000000	36.371066
4.250000	35.919957
4.500000	35.499733
4.750000	35.108141
5.000000	34.743044
5.250000	34.402446
5.500000	34.084502
5.750000	33.787517
6.000000	33.509942
6.250000	33.250363
6.500000	33.007494
6.750000	32.780164
7.000000	32.567310
7.250000	32.367961
7.500000	32.181236
7.750000	32.006329
8.000000	31.842505
8.250000	31.689094
8.500000	31.545480
8.750000	31.411099
9.000000	31.285435
9.250000	31.168011
9.500000	31.058389
9.750000	30.956165
10.000000	30.860965
10.250000	30.772443
10.500000	30.690280
10.750000	30.614178
11.000000	30.543859
11.250000	30.479068
11.500000	30.419564
11.750000	30.365122
12.000000	30.315534
12.250000	30.270603
12.500000	30.230145
12.750000	30.193987
13.000000	30.161968
13.250000	30.133933
13.500000	30.109740
13.750000	30.089251
14.000000	30.072339
14.250000	30.058882
14.500000	30.048764
14.750000	30.041877
15.000000	30.038117
15.250000	30.037384
15.500000	30.039586
15.750000	30.044632
16.000000	30.052438
16.250000	30.062922
16.500000	30.076006
16.750000	30.091616
17.000000	30.109680
17.250000	30.130130
17.500000	30.152900
17.750000	30.177928
18.000000	30.205153
18.250000	30.234516
18.500000	30.265961
18.750000	30.299434
19.000000	30.334884
19.250000	30.372258
19.500000	30.411509
19.750000	30.452589
20.000000	30.495453
20.250000	30.540057
20.500000	30.586357
20.750000	30.634311
21.000000	30.683881
21.250000	30.735025
21.500000	30.787706
21.750000	30.841887
22.000000	30.897532
22.250000	30.954605
22.500000	31.013072
22.750000	31.072899
23.000000	31.134055
23.250000	31.196506
23.500000	31.260221
23.750000	31.325171
24.000000	31.391326
24.250000	31.458655
24.500000	31.527132
24.750000	31.596727
25.000000	31.667413
25.250000	31.739164
25.500000	31.811953
25.750000	31.885754
26.000000	31.960543
26.250000	32.036293
26.500000	32.112982
26.750000	32.190584
27.000000	32.269077
27.250000	32.348437
27.500000	32.428641
27.750000	32.509668
28.000000	32.591495
28.250000	32.674100
28.500000	32.757462
28.750000	32.841561
29.000000	32.926376
29.250000	33.011886
29.500000	33.098071
29.750000	33.184913
30.000000	33.272390
30.250000	33.360485
30.500000	33.449179
30.750000	33.538453
31.000000	33.628288
31.250000	33.718667
31.500000	33.809573
31.750000	33.900987
32.000000	33.992892
32.250000	34.085271
32.500000	34.178109
32.750000	34.271387
33.000000	34.365090
33.250000	34.459202
33.500000	34.553707
33.750000	34.648589
34.000000	34.743833
34.250000	34.839423
34.500000	34.935346
34.750000	35.031585
35.000000	35.128127
35.250000	35.224957
35.500000	35.322061
35.750000	35.419424
36.000000	35.517034
36.250000	35.614876
36.500000	35.712938
36.750000	35.811205
37.000000	35.909665
37.250000	36.008306
37.500000	36.107113
37.750000	36.206076
38.000000	36.305181
38.250000	36.404416
38.500000	36.503770
38.750000	36.603231
39.000000	36.702786
39.250000	36.802426
39.500000	36.902137
39.750000	37.001910
40.000000	37.101733
40.250000	37.201595
40.500000	37.301486
40.750000	37.401396
41.000000	37.501313
41.250000	37.601229
41.500000	37.701132
41.750000	37.801013
42.000000	37.900862
42.250000	38.000670
42.500000	38.100428
42.750000	38.200126
43.000000	38.299754
43.250000	38.399305
43.500000	38.498769
43.750000	38.598137
44.000000	38.697402
44.250000	38.796554
44.500000	38.895586
44.750000	38.994489
45.000000	39.093255
45.250000	39.191877
45.500000	39.290347
45.750000	39.388657
46.000000	39.486800
46.250000	39.584769
46.500000	39.682556
46.750000	39.780155
47.000000	39.877558
47.250000	39.974759
47.500000	40.071752
47.750000	40.168529
48.000000	40.265084
48.250000	40.361411
48.500000	40.457505
48.750000	40.553358
49.000000	40.648965
49.250000	40.744320
49.500000	40.839418
49.750000	40.934253
50.000000	41.028820
50.250000	41.123113
50.500000	41.217127
50.750000	41.310857
51.000000	41.404298
51.250000	41.497445
51.500000	41.590294
51.750000	41.682840
52.000000	41.775077
52.250000	41.867003
52.500000	41.958613
52.750000	42.049901
53.000000	42.140865
53.250000	42.231500
53.500000	42.321803
53.750000	42.411769
54.000000	42.501395
54.250000	42.590677
54.500000	42.679611
54.750000	42.768195
55.000000	42.856425
55.250000	42.944297
55.500000	43.031809
55.750000	43.118958
56.000000	43.205740
56.250000	43.292153
56.500000	43.378194
56.750000	43.463859
57.000000	43.549148
57.250000	43.634057
57.500000	43.718583
57.750000	43.802724
58.000000	43.886479
58.250000	43.969844
58.500000	44.052818
58.750000	44.135399
59.000000	44.217584
59.250000	44.299373
59.500000	44.380762
59.750000	44.461751
60.000000	44.542337
60.250000	44.622519
60.500000	44.702296
60.750000	44.781666
61.000000	44.860627
61.250000	44.939179
61.500000	45.017321
61.750000	45.095050
62.000000	45.172366
62.250000	45.249268
62.500000	45.325755
